Date,Added,Removed,Reason,,,,,
NFLX,Netflix Inc.,ODP,Office Depot Inc.,,,,,
NFX,Newfield Exploration,NYT,The New York Times Co.,,,,,
08/26/19,2010,TYC,Tyco International Ltd.,SII,Smith International Inc.,Acquired by Schlumberger Ltd. (SLB)[160],,
07/14/19,2010,CB,Chubb Limited,MIL,Millipore Inc.,Acquired by Merck KGaA (MKGAY)[161],,
06/30/19,2010,QEP,QEP Resources,STR,Questar Corp.,Company split. QEP retained, but ticker changed.[162],
06/28/19,2010,KMX,CarMax, Inc.,XTO,XTO Energy Inc.,Acquired by ExxonMobil Inc. (XOM)[163],
04/29/19,2010,CERN,Cerner Corp.,BJS,BJ Services Company,Acquired by Baker Hughes Inc. (BHI)[164],,
02/26/19,2010,HP,Helmerich & Payne,RX,IMS Health,Taken private[165],,
11/03/19,2009,PCLN,Priceline.com,SGP,Schering-Plough Corp.,Acquired by Merck & Co. (MRK)[166],,
09/28/19,2009,ARG,Airgas Inc,CBE,Cooper Industries Ltd.,Redomesticated to Ireland[167],,
03/03/19,2009,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[168],,
VTR,Ventas Inc.,JNY,Jones Apparel Group,,,,,
06/10/19,2008,LO,Lorillard Inc.,ABK,Ambac Financial,Market Value Decline[169],,
12/20/19,2007,RRC,Range Resources,TRB,Tribune Co.,Taken private[170],,
12/13/19,2007,GME,GameStop,DJ,Dow Jones,Acquired by News Corp.[171],,
10/25/19,2007,JEC,Jacobs Engineering Group,AV,Avaya Inc.,Taken private[172],,
08/24/19,2007,LUK,Leucadia National,KSE,KeySpan,Acquired by National Grid plc[173],,
03/30/19,2007,KFT,Kraft Foods,TSG,Sabre Holdings,Taken Private[174],,
01/10/19,2007,AVB,AvalonBay Communities, Inc.,SBL,Symbol Technologies,Acquired by Motorola[175],
07/01/19,2005,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired by Crompton Corp.[176],,
09/25/19,2003,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private[177],,
12/05/19,2000,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[178],,
SBL,Symbol Technologies,OI,Owens-Illinois,,,,,
AYE,Allegheny Energy,GRA,W.R. Grace,,,,,
ABK,Ambac Financial,CCK,Crown Holdings,,,,,
